Player,Team,Pos,PA,AB,H,HR,BB,SB,R,RBI,AVG,OBP,SLG,VALUE,FVALUE
Christian Yelich,MIL,OF,660,562,176,44,88,27,126,114,0.313,0.411,0.625,27.42,27.42
Mookie Betts,LAD,OF,675,575,180,37,89,21,141,88,0.314,0.405,0.595,24.95,24.95
Ronald Acuna Jr.,ATL,OF,675,589,163,41,76,29,124,97,0.277,0.367,0.557,24.56,24.56
Mike Trout,LAA,OF,625,492,146,46,115,14,120,111,0.297,0.439,0.653,23.94,24.87
Jose Ramirez,CLE,3B,660,571,157,33,78,32,99,109,0.275,0.364,0.52,23.01,23.01
Fernando Tatis Jr.,SD,SS,660,592,169,36,56,26,115,93,0.285,0.353,0.546,22.92,22.92
Trea Turner,WSH,SS,675,612,179,21,56,39,114,76,0.293,0.355,0.48,22.85,22.85
Trevor Story,COL,SS,660,595,170,33,55,26,109,95,0.286,0.351,0.542,22.3,22.3
Cody Bellinger,LAD,1B/OF,660,567,162,39,87,15,110,103,0.286,0.382,0.562,21.88,21.88
Juan Soto,WSH,OF,660,543,159,37,111,11,107,104,0.292,0.412,0.562,20.98,20.98
Starling Marte,MIA,OF,625,575,170,23,30,30,95,81,0.297,0.345,0.486,20.64,21.44
Marcell Ozuna,ATL,OF,660,589,173,37,67,9,92,111,0.294,0.366,0.546,20.36,20.36
Kyle Tucker,HOU,OF,640,587,157,33,52,26,92,95,0.267,0.328,0.504,20.38,20.69
Freddie Freeman,ATL,1B,660,568,170,36,83,6,101,107,0.299,0.393,0.57,20.31,20.31
Bryce Harper,PHI,OF,665,544,146,37,109,15,101,107,0.268,0.392,0.536,20.31,20.31
Adalberto Mondesi,KC,SS,550,516,130,18,23,51,79,74,0.252,0.281,0.433,20.15,23.74
Anthony Rendon,LAA,3B,650,554,169,35,78,4,101,108,0.306,0.397,0.573,20.04,20.04
Francisco Lindor,NYM,SS,675,609,169,28,54,22,109,81,0.278,0.339,0.485,19.85,19.85
J.D. Martinez,BOS,UT,640,562,168,37,68,3,96,107,0.299,0.376,0.567,19.49,19.79
Luis Robert,CWS,OF,600,564,156,31,34,22,98,80,0.276,0.317,0.521,19.35,20.92
Yordan Alvarez,HOU,UT,600,526,155,40,71,3,84,112,0.294,0.379,0.592,19.26,20.68
Nick Castellanos,CIN,OF,665,612,178,38,44,2,111,92,0.292,0.344,0.563,19.18,19.18
Whit Merrifield,KC,2B/OF,700,643,185,16,47,27,102,72,0.288,0.339,0.444,18.8,18.8
Javier Baez,CHC,SS,660,623,168,33,30,16,93,92,0.269,0.304,0.495,18.63,18.63
Alex Bregman,HOU,3B,675,553,158,32,107,6,103,98,0.286,0.406,0.531,18.6,18.6
Bo Bichette,TOR,SS,650,604,172,23,44,23,94,78,0.284,0.333,0.489,18.48,18.48
George Springer,TOR,OF,625,542,151,37,71,6,102,91,0.278,0.367,0.548,18.37,19.09
Nelson Cruz,MIN,UT,600,524,149,42,63,0,85,111,0.284,0.369,0.579,18.34,19.82
Tim Anderson,CWS,SS,660,627,179,22,25,21,100,69,0.286,0.316,0.459,18.05,18.05
Xander Bogaerts,BOS,SS,660,583,171,28,68,7,89,99,0.293,0.366,0.515,17.95,17.95
Pete Alonso,NYM,1B,650,561,139,47,67,1,95,110,0.248,0.347,0.546,17.98,17.98
Keston Hiura,MIL,2B,625,570,152,33,45,14,92,86,0.267,0.329,0.507,17.79,18.48
Manny Machado,SD,3B,675,600,167,29,67,9,88,98,0.279,0.353,0.49,17.63,17.63
Eugenio Suarez,CIN,3B,640,555,143,42,69,3,89,110,0.257,0.347,0.539,17.65,17.92
Charlie Blackmon,COL,OF,625,567,171,28,45,5,103,78,0.302,0.358,0.537,17.6,17.96
DJ Lemahieu,NYY,1B/2B/3B,675,619,195,20,47,6,94,79,0.315,0.362,0.478,17.16,17.16
Jose Abreu,CWS,1B,650,593,173,30,38,2,79,107,0.291,0.342,0.516,17.11,17.11
Randy Arozarena,TB,OF,600,551,153,23,45,22,87,68,0.277,0.335,0.461,17.1,18.49
Trent Grisham,SD,OF,660,565,147,27,89,16,94,84,0.26,0.363,0.479,16.99,16.99
Brandon Lowe,TB,2B/OF,650,576,143,37,60,9,87,102,0.248,0.325,0.507,16.94,16.94
Ramon Laureano,OAK,OF,625,554,146,26,44,15,95,80,0.264,0.331,0.475,16.8,17.46
Paul Goldschmidt,STL,1B,660,573,150,35,82,4,97,90,0.261,0.356,0.5,16.57,16.57
Rafael Devers,BOS,3B,660,609,173,27,45,6,89,87,0.284,0.335,0.503,16.54,16.54
Matt Olson,OAK,1B,650,571,147,39,67,1,87,104,0.257,0.346,0.521,16.56,16.56
Tommy Pham,SD,OF,585,507,140,20,71,21,88,69,0.277,0.37,0.467,16.51,18.3
Ozzie Albies,ATL,2B,640,589,161,24,43,13,96,76,0.274,0.326,0.487,16.42,16.67
Jose Altuve,HOU,2B,600,544,158,26,49,9,93,72,0.29,0.351,0.497,16.38,17.69
Aaron Judge,NYY,OF,525,444,125,34,75,4,94,75,0.282,0.388,0.573,16.26,20
Dylan Carlson,STL,OF,625,571,151,25,54,18,91,70,0.264,0.327,0.473,16.23,15.84
Corey Seager,LAD,SS,675,610,169,30,55,1,90,95,0.277,0.339,0.509,16.17,16.17
Michael Conforto,NYM,OF,640,544,145,30,81,6,91,90,0.266,0.37,0.499,16.09,16.34
Max Muncy,LAD,1B/2B/3B,600,495,125,36,94,4,94,90,0.253,0.378,0.53,16.07,17.37
Austin Meadows,TB,OF,600,539,142,29,53,12,83,84,0.264,0.336,0.498,15.94,17.23
Mike Moustakas,CIN,2B/1B,625,559,145,34,55,4,80,100,0.26,0.333,0.504,15.89,16.51
Josh Bell,WSH,1B,650,560,154,31,79,1,87,97,0.275,0.364,0.502,15.88,15.88
Michael Brantley,HOU,OF,625,565,169,21,50,6,85,81,0.3,0.36,0.485,15.85,16.46
Franmil Reyes,CLE,UT,625,562,148,36,55,0,86,97,0.264,0.326,0.51,15.82,16.44
Gleyber Torres,NYY,SS,650,582,151,31,56,6,88,91,0.26,0.327,0.479,15.79,15.79
Ketel Marte,ARI,2B,625,566,162,22,51,8,87,80,0.287,0.349,0.49,15.73,16.34
Anthony Rizzo,CHC,1B,656,551,156,23,74,6,81,91,0.284,0.39,0.467,15.64,15.64
Carlos Correa,HOU,SS,625,547,150,29,65,2,79,99,0.275,0.351,0.497,15.64,16.24
Christian Walker,ARI,1B,600,529,140,30,62,7,91,80,0.264,0.347,0.501,15.6,16.87
Lourdes Gurriel Jr.,TOR,OF,600,555,148,30,32,8,81,84,0.267,0.311,0.488,15.55,16.81
Marcus Semien,TOR,SS,650,576,152,26,69,10,96,74,0.263,0.342,0.47,15.51,15.51
Luke Voit,NYY,1B,625,537,138,36,77,0,91,91,0.257,0.36,0.516,15.46,16.06
Tommy Edman,STL,2B/3B/SS/OF,650,608,165,13,36,24,90,58,0.272,0.318,0.411,15.43,15.43
Eddie Rosario,CLE,OF,625,590,153,32,29,5,81,92,0.259,0.291,0.49,15.34,15.94
Jeff McNeil,NYM,2B/3B/OF,650,583,171,20,43,7,86,76,0.293,0.36,0.469,15.28,15.28
Kyle Schwarber,WSH,OF,625,536,132,36,79,3,88,92,0.245,0.345,0.504,15.28,15.88
Nolan Arenado,STL,3B,650,576,156,28,63,2,82,93,0.271,0.342,0.473,15.2,15.2
Jorge Soler,KC,OF,550,479,124,35,60,3,76,93,0.26,0.35,0.539,15.19,17.87
Eduardo Escobar,ARI,3B,625,567,150,29,46,4,80,95,0.266,0.321,0.499,15.16,15.75
J.T. Realmuto,PHI,C,568,514,144,24,41,8,83,77,0.281,0.339,0.502,15.13,15.13
Teoscar Hernandez,TOR,OF,615,557,131,36,54,8,86,88,0.234,0.303,0.492,15.11,15.95
Wil Myers,SD,OF,550,493,126,25,53,17,76,74,0.256,0.33,0.475,14.94,17.57
Joey Gallo,TEX,OF,575,484,107,40,85,5,86,88,0.221,0.342,0.518,14.84,16.73
Cavan Biggio,TOR,2B/3B/OF,625,517,121,22,102,19,96,68,0.235,0.363,0.431,14.77,15.35
Andrew McCutchen,PHI,OF,625,529,137,25,87,9,93,72,0.26,0.367,0.462,14.73,15.31
AJ Pollock,LAD,OF,525,475,127,26,34,9,76,78,0.268,0.324,0.506,14.71,18.1
Eloy Jimenez,CWS,OF,600,559,151,32,36,0,75,91,0.27,0.317,0.501,14.65,15.83
Ian Happ,CHC,OF,650,560,132,31,84,8,87,85,0.236,0.337,0.461,14.61,14.61
J.D. Davis,NYM,3B/OF,550,490,144,24,52,3,78,76,0.294,0.367,0.507,14.46,16.99
Mike Yastrzemski,SF,OF,625,557,145,29,57,4,90,78,0.26,0.333,0.493,14.39,14.95
Alex Verdugo,BOS,OF,650,592,170,16,47,8,86,71,0.287,0.338,0.444,14.27,14.27
Giancarlo Stanton,NYY,UT,550,473,123,30,64,4,79,83,0.261,0.351,0.502,14.3,16.82
Matt Chapman,OAK,3B,625,550,141,31,63,1,93,79,0.255,0.34,0.495,14.27,14.83
Yoan Moncada,CWS,3B,625,563,145,24,55,9,84,76,0.258,0.325,0.461,14.18,14.73
Gio Urshela,NYY,3B,575,528,155,23,35,1,76,78,0.293,0.339,0.484,14.16,15.93
Lorenzo Cain,MIL,OF,600,535,150,10,55,21,86,48,0.281,0.353,0.388,14.12,15.25
Adam Eaton,CWS,OF,625,542,152,14,60,14,96,50,0.28,0.36,0.421,14.11,14.65
C.J. Cron,COL,1B,500,453,121,33,32,0,66,88,0.268,0.331,0.543,14.06,18.14
Dansby Swanson,ATL,SS,610,543,143,20,54,11,82,72,0.264,0.332,0.452,13.98,14.87
Kris Bryant,CHC,3B,640,549,141,27,71,3,97,71,0.257,0.358,0.469,13.89,14.1
Avisail Garcia,MIL,OF,575,527,137,26,36,7,73,80,0.26,0.315,0.473,13.85,15.6
Franchy Cordero,BOS,OF,475,417,112,19,52,17,69,64,0.27,0.347,0.478,13.84,18.77
Ryan Mountcastle,BAL,1B/OF,650,621,173,24,28,2,76,79,0.278,0.309,0.452,13.8,13.8
Yasiel Puig,FA,UT,500,455,123,19,37,16,64,70,0.27,0.33,0.469,13.8,17.79
Vladimir Guerrero Jr.,TOR,1B,625,566,161,22,55,1,70,85,0.285,0.35,0.46,13.74,14.27
Byron Buxton,MIN,OF,500,466,114,20,26,22,67,64,0.245,0.285,0.449,13.77,17.79
Justin Turner,LAD,3B,525,455,132,24,52,2,81,68,0.289,0.376,0.508,13.7,16.84
Joey Votto,CIN,1B,650,548,146,22,94,4,96,69,0.266,0.377,0.453,13.67,13.67
Evan White,SEA,1B,600,552,144,28,47,3,77,75,0.261,0.319,0.456,13.43,14.51
Bryan Reynolds,PIT,OF,600,539,156,18,53,3,82,67,0.288,0.357,0.467,13.39,14.46
Mark Canha,OAK,OF,625,521,130,26,78,4,91,73,0.248,0.366,0.461,13.41,13.93
Austin Riley,ATL,3B,600,552,141,31,43,0,75,85,0.255,0.312,0.484,13.39,14.47
Carlos Santana,KC,1B,625,518,135,24,101,3,86,77,0.26,0.381,0.458,13.34,13.86
Shohei Ohtani,LAA,UT,450,404,109,21,41,13,61,69,0.269,0.336,0.5,13.26,18.94
Anthony Santander,BAL,OF,625,585,152,26,31,2,70,88,0.26,0.3,0.466,13.24,13.75
Kolten Wong,MIL,2B,625,544,140,11,53,21,72,66,0.258,0.335,0.376,13.24,13.75
Elvis Andrus,OAK,SS,600,555,145,11,34,21,73,59,0.261,0.304,0.373,13.12,14.18
Dylan Moore,SEA,2B/OF,575,516,118,18,45,26,71,59,0.228,0.305,0.402,13.13,14.8
Didi Gregorius,PHI,SS,600,549,144,21,39,7,70,80,0.263,0.314,0.448,13.09,14.14
Nick Solak,TEX,2B/OF,575,520,135,21,51,11,74,66,0.26,0.329,0.432,13.09,14.62
Kole Calhoun,ARI,OF,625,546,130,27,68,5,88,74,0.238,0.327,0.452,12.99,13.49
Victor Robles,WSH,OF,550,487,119,14,31,23,73,56,0.245,0.313,0.397,12.98,15.27
Nick Madrigal,CWS,2B,525,485,155,3,38,19,68,40,0.319,0.371,0.406,12.91,15.82
Rhys Hoskins,PHI,1B,600,493,115,30,93,3,83,81,0.232,0.362,0.469,12.96,14.01
Leody Taveras,TEX,OF,625,572,153,8,52,22,72,54,0.267,0.328,0.395,12.87,13.36
Jorge Polanco,MIN,SS,575,518,148,17,46,5,78,63,0.285,0.342,0.459,12.84,14.44
Andrew Benintendi,KC,OF,600,525,135,16,62,13,76,67,0.257,0.337,0.415,12.81,13.84
Max Kepler,MIN,OF,650,569,141,25,69,3,86,74,0.247,0.335,0.445,12.8,12.8
Miguel Sano,MIN,1B,575,505,112,37,66,0,80,83,0.222,0.314,0.492,12.77,14.4
Austin Hays,BAL,OF,625,594,145,21,29,13,76,64,0.244,0.28,0.417,12.68,13.17
Edwin Encarnacion,FA,UT,500,432,105,32,56,1,69,81,0.243,0.337,0.517,12.66,16.34
Yuli Gurriel,HOU,1B,575,532,152,16,31,4,64,75,0.286,0.328,0.443,12.61,14.18
Ian Desmond,COL,UT,500,455,122,20,38,9,65,67,0.268,0.327,0.473,12.57,15.88
Corey Dickerson,MIA,OF,550,515,144,18,29,5,63,76,0.279,0.317,0.468,12.55,14.74
Gavin Lux,LAD,2B,450,408,121,18,42,8,68,53,0.298,0.363,0.504,12.55,17.36
Joc Pederson,CHC,OF,550,484,122,28,52,1,80,69,0.251,0.335,0.485,12.45,13.56
Jean Segura,PHI,2B/3B,575,532,149,12,32,11,74,55,0.28,0.325,0.411,12.38,13.93
Eric Hosmer,SD,1B,625,575,151,21,43,3,65,82,0.263,0.316,0.424,12.32,12.79
Brian Anderson,MIA,3B,625,551,142,21,55,4,74,76,0.258,0.342,0.431,12.32,12.79
Ryan Braun,FA,OF,460,420,114,19,31,10,58,66,0.272,0.329,0.471,12.32,17.2
Sam Hilliard,COL,OF,550,511,119,22,38,16,70,62,0.234,0.288,0.434,12.33,14.51
Kyle Seager,SEA,3B,600,534,128,26,54,4,70,82,0.24,0.315,0.439,12.25,13.24
Gregory Polanco,PIT,OF,500,446,108,22,47,10,67,69,0.243,0.315,0.465,12.25,15.81
Aaron Hicks,NYY,OF,525,440,108,23,78,7,76,65,0.247,0.359,0.463,12.23,15.05
Justin Upton,LAA,OF,575,498,116,26,62,4,72,80,0.234,0.323,0.45,12.11,13.64
Josh Donaldson,MIN,3B,525,437,109,25,80,3,74,70,0.25,0.372,0.48,12.07,14.85
Kyle Lewis,SEA,OF,650,580,143,22,69,5,75,75,0.248,0.327,0.418,12,12
Alec Bohm,PHI,3B/1B,600,540,143,20,56,4,69,73,0.265,0.335,0.441,11.98,12.94
Nick Ahmed,ARI,SS,600,540,139,16,48,8,69,74,0.257,0.316,0.421,11.95,12.91
Cesar Hernandez,CLE,2B,625,560,150,12,57,10,76,60,0.268,0.339,0.398,11.91,12.37
Evan Longoria,SF,3B,525,477,127,21,36,3,65,73,0.267,0.323,0.465,11.91,14.63
Hunter Dozier,KC,1B/OF,600,538,137,21,56,4,74,73,0.254,0.325,0.446,11.91,12.87
Scott Kingery,PHI,2B/OF,525,483,119,18,33,13,73,56,0.246,0.298,0.43,11.83,14.56
Paul deJong,STL,SS,600,529,122,24,53,6,79,71,0.231,0.312,0.425,11.78,12.73
Ryan McMahon,COL,1B/2B/3B,600,535,133,21,60,4,66,78,0.248,0.326,0.431,11.7,12.64
Salvador Perez,KC,C,475,448,118,25,13,1,52,79,0.264,0.297,0.492,11.65,11.65
Jesus Aguilar,MIA,1B,550,475,122,23,61,0,64,81,0.257,0.34,0.452,11.59,13.62
David Fletcher,LAA,2B/3B/SS,675,616,179,5,53,8,81,49,0.29,0.345,0.364,11.51,11.51
Stephen Piscotty,OAK,OF,525,477,124,21,37,3,64,71,0.259,0.317,0.456,11.53,14.17
Miguel Rojas,MIA,SS,575,527,151,8,35,10,61,60,0.287,0.336,0.386,11.47,12.9
Hunter Renfroe,BOS,OF,500,448,101,28,43,5,66,73,0.225,0.295,0.461,11.42,14.75
Nick Senzel,CIN,OF,500,458,111,16,38,16,65,53,0.242,0.303,0.414,11.35,14.65
Trey Mancini,BAL,UT,500,448,123,20,43,1,69,62,0.274,0.342,0.476,11.31,14.56
Jesse Winker,CIN,OF,500,430,120,19,60,0,70,60,0.28,0.378,0.481,11.29,14.33
Wander Franco,TAM,SS,450,398,121,11,45,7,64,49,0.303,0.373,0.456,11.27,16.02
Starlin Castro,WSH,2B,575,537,144,18,30,3,66,68,0.267,0.304,0.422,11.27,12.68
Willi Castro,DET,3B/SS,525,491,134,10,31,13,63,53,0.273,0.317,0.421,11.27,13.83
Andrelton Simmons,MIN,SS,557,519,143,10,32,11,62,56,0.276,0.321,0.385,11.2,12.98
Adam Frazier,PIT,2B/OF,650,591,160,13,46,4,81,55,0.27,0.329,0.411,11.17,11.17
Oscar Mercado,CLE,OF,525,480,122,10,37,18,67,45,0.255,0.308,0.387,11.15,13.6
Tommy La Stella,SF,1B/2B,600,544,152,15,49,1,72,62,0.279,0.343,0.419,11.11,12
Mitch Haniger,SEA,UT,460,401,99,22,48,6,68,59,0.247,0.335,0.468,11.15,15.58
Amed Rosario,CLE,SS,500,471,131,8,23,15,57,49,0.278,0.312,0.397,11.01,14.15
Chris Taylor,LAD,2B/SS/OF,525,463,115,17,50,9,67,61,0.248,0.325,0.429,10.98,13.35
Ke'Bryan Hayes,PIT,3B,600,547,141,10,52,13,70,55,0.258,0.323,0.395,10.95,11.83
Harrison Bader,STL,OF,550,475,102,18,55,15,79,52,0.216,0.313,0.394,10.98,12.92
Jon Berti,MIA,2B/OF,425,378,97,7,39,25,61,34,0.256,0.333,0.372,10.96,16.53
Colin Moran,PIT,1B,600,547,142,19,43,0,58,82,0.259,0.314,0.42,10.92,11.68
Will Smith,LAD,C,450,400,96,26,45,3,59,69,0.241,0.321,0.497,10.94,10.94
Brendan Rodgers,COL,2B,550,519,136,17,30,5,66,60,0.263,0.304,0.433,10.89,12.79
Rougned Odor,TEX,2B,500,449,102,23,42,10,59,67,0.226,0.298,0.446,10.92,14.1
Ty France,SEA,2B,550,511,135,20,34,1,61,69,0.263,0.314,0.446,10.88,12.78
Jurickson Profar,SD,2B/OF,450,398,104,16,40,10,59,58,0.261,0.339,0.447,10.89,15.54
Victor Reyes,DET,OF,500,476,129,8,20,16,60,46,0.272,0.3,0.391,10.88,13.99
Randal Grichuk,TOR,OF,475,442,111,24,27,2,63,64,0.251,0.299,0.477,10.85,14.7
Garrett Cooper,MIA,1B,525,474,130,18,42,0,65,63,0.274,0.34,0.445,10.82,13.27
Raimel Tapia,COL,OF,575,542,143,9,30,13,66,52,0.264,0.303,0.381,10.79,12.14
Dominic Smith,NYM,1B/OF,600,548,137,20,43,2,72,66,0.249,0.307,0.43,10.76,11.63
Brandon Belt,SF,1B,550,471,115,20,72,3,74,62,0.245,0.348,0.438,10.68,12.56
Jason Heyward,CHC,OF,550,480,129,12,62,6,68,57,0.27,0.356,0.414,10.57,12.41
Yasmani Grandal,CWS,C,515,424,97,23,83,3,68,68,0.228,0.357,0.446,10.57,10.57
Jackie Bradley Jr.,FA,OF,475,416,100,18,46,10,65,54,0.241,0.327,0.433,10.52,14.25
Chad Pinder,OAK,2B/3B,500,457,120,20,32,0,66,60,0.263,0.318,0.469,10.48,11.9
David Peralta,ARI,OF,538,490,132,15,42,2,56,70,0.27,0.332,0.436,10.44,12.52
Kevin Kiermaier,TB,OF,500,459,107,11,33,21,57,51,0.232,0.291,0.368,10.45,13.48
Miguel Cabrera,DET,UT,600,535,145,14,57,0,55,76,0.272,0.342,0.392,10.39,11.22
Matt Carpenter,STL,3B,450,378,90,22,62,4,70,55,0.238,0.352,0.474,10.37,14.81
Nate Lowe,TEX,1B,550,476,120,19,72,1,66,65,0.252,0.35,0.433,10.28,12.07
Willie Calhoun,TEX,OF,575,524,135,17,46,2,65,65,0.257,0.318,0.416,10.25,11.53
Jose Iglesias,LAA,SS,550,520,144,8,20,9,53,56,0.278,0.31,0.375,10.12,11.86
Jake Cronenworth,SD,1B/2B/SS,475,430,115,8,45,14,63,40,0.267,0.336,0.401,10.07,13.6
Tyler O'Neill,STL,OF,450,416,96,24,31,5,61,57,0.231,0.287,0.453,10.07,14.4
David Dahl,TEX,OF,475,433,111,16,31,5,57,59,0.257,0.309,0.442,10,13.53
DJ Stewart,BAL,OF,550,485,110,19,61,8,61,64,0.227,0.315,0.413,10,11.76
Maikel Franco,FA,3B,505,463,119,19,38,1,53,70,0.257,0.31,0.429,9.97,12.69
Brett Gardner,NYY,OF,500,439,106,14,53,11,67,49,0.24,0.324,0.395,9.97,12.85
Kevin Pillar,NYM,OF,400,378,103,12,13,10,50,50,0.273,0.303,0.444,9.95,15.86
Garrett Hampson,COL,2B/OF,400,370,96,10,27,16,59,34,0.259,0.308,0.416,9.95,15.64
Alex Kirilloff,MIN,OF,500,455,117,13,35,9,55,56,0.257,0.314,0.403,9.93,12.78
Jonathan Schoop,DET,2B,550,514,128,20,23,1,64,62,0.249,0.292,0.416,9.92,11.65
Clint Frazier,NYY,OF,550,503,119,20,42,4,69,58,0.236,0.298,0.426,9.92,11.65
Mauricio Dubon,SF,2B/SS/OF,525,501,131,13,23,9,62,45,0.261,0.294,0.397,9.9,12.15
Alex Dickerson,SF,OF,500,451,118,17,41,1,60,60,0.263,0.327,0.449,9.84,11.69
Adam Duvall,MIA,OF,450,409,89,28,33,1,59,66,0.219,0.286,0.479,9.86,14.1
Cristian Pache,ATL,OF,500,455,109,12,35,18,48,52,0.239,0.297,0.38,9.83,12.67
Todd Frazier,FA,1B/3B,516,458,111,19,44,4,60,62,0.243,0.322,0.416,9.83,12.29
Khris Davis,TEX,UT,450,401,97,24,40,0,55,67,0.24,0.316,0.478,9.83,14.03
Christian Vazquez,BOS,C,475,439,114,16,30,5,55,56,0.26,0.307,0.424,9.8,9.8
Andres Gimenez,CLE,2B/SS/3B,450,424,102,8,24,23,54,37,0.24,0.284,0.363,9.79,13.98
Jonathan Villar,NYM,2B/SS,350,315,77,10,30,20,50,36,0.245,0.311,0.394,9.76,17.77
Edwin Rios,LAD,3B,400,374,98,22,25,1,49,60,0.261,0.309,0.502,9.74,15.54
Manuel Margot,TB,OF,450,409,101,7,35,20,55,40,0.248,0.306,0.362,9.7,13.82
Brandon Nimmo,NYM,OF,550,442,104,14,88,7,75,51,0.236,0.38,0.394,9.7,11.39
Robbie Grossman,DET,OF,560,484,125,8,69,10,65,51,0.257,0.351,0.373,9.68,11.16
Danny Santana,FA,1B/OF,300,277,74,15,16,12,44,44,0.266,0.311,0.487,9.68,20.44
Dexter Fowler,LAA,OF,500,427,102,16,62,7,61,57,0.24,0.341,0.411,9.67,12.45
Jared Walsh,LAA,1B,475,435,104,24,37,0,60,61,0.238,0.3,0.462,9.67,13.09
JaCoby Jones,DET,OF,500,452,105,14,34,12,67,44,0.233,0.3,0.389,9.62,12.4
Daulton Varsho,ARI,C/OF,350,316,89,13,33,9,55,37,0.281,0.35,0.491,9.54,12.13
Aledmys Diaz,HOU,2B,400,358,98,15,30,3,52,55,0.274,0.333,0.472,9.54,15.19
Gary Sanchez,NYY,C,400,352,80,27,40,0,53,63,0.226,0.316,0.499,9.5,10.64
Luis Arraez,MIN,2B,500,454,140,4,44,4,60,39,0.308,0.368,0.392,9.43,12.08
Rowdy Tellez,TOR,1B,425,385,99,19,31,2,51,59,0.258,0.318,0.467,9.47,14.25
